nomeEmpresa;nomePregao;titulo;texto;polaridade
BCO BRASIL S.A.;BRASIL;abertas inscricoes selecao patrocinios banco brasil ;estao abertas ate setembro inscricoes processo selecao publica patrocinios banco brasil departamento incentivo fomento esporte ministerio esporte informa proponentes desejam inscrever algum projeto realizar cadastro ate data limite exclusivamente internet observadas instrucoes constam edital edital inscricao online propostas estao disponiveis site banco brasil informacoes sobre podera participar sera processo selecao publica projetos encontramse edital podem participar pessoas juridicas constituidas pais regularidade fiscal partir fase contratacao obrigatorio proponente cliente banco brasil;+
BCO BRASIL S.A.;BRASIL;stj manda banco brasil pagar clientes perdas plano verao ; segunda secao superior tribunal justica stj decidiu nesta quartafeira banco brasil deve pagar clientes todo pais diferenca referente perda gerada cadernetas poupanca causa plano verao janeiro nota banco informou decisao nao efeitos imediatos vai recorrer decisaoo tribunal analisava recurso banco sobre decisao justica data vara civel brasilia havia julgado acao civil publica ajuizada instituto brasileiro defesa consumidor idec naquele ano vara ja havia condenado banco pagar chamados expurgos inflacionarios ocorrem indices inflacionarios nao sao aplicados poupanca geram perda rendimento valores depositados banco brasil recorreu stj alegando sentenca deveria ter validade apenas contas poupancas abertas distrito federal somente poupadores associados idec autor acao legitimidade buscar cumprimento sentencana visao relator recurso stj ministro luis felipe salomao julgamento anterior havia definido decisao deveria contemplar todos poupadores mantinham conta banco brasil janeiro nao apenas residiam distrito federal vinculados idec voto relator seguido demais minitrossaiba supremo decide adiar vez julgamento planos economicosstj decide favor poupadores sobre juros planos economicos assessoria imprensa banco brasil informou meio nota instituicao entrara recursos cabiveis contra decisao apos publicacao acordao decisao nao surtira efeitos imediatos pois devese aguardar publicacao acordao sobre bb interpora recursos cabiveis obter pronunciamento definitivo supremo tribunal federal diz nota stj nao informou valor banco tera pagar caso determinacao justica volte ser confirmada criado tentativa conter hiperinflacao plano verao assim outros criados inicio decada alteraram calculo correcao monetaria saldos poupanca quase mil processos sobre planos economicos estao tramitacao suspensa diversos tribunais desde espera decisao stf autores acoes argumentam perdas querem receber valores corrigidos base inflacao stf julgamento desta quarta stj diferente julgamento supremo tribunal federal stf suprema corte vai definir sobre validade planos economicos correcao monetaria valores cadernetas ocorreu dentro legalidade julgamento realizado fim marco adiado ainda nao ha nova data tribunal entender percentual utilizado planos correto muitos poupadores nao terao direito receber nada nesse caso stf podera avaliar fazer ja recebeu dinheiro bancos decisao outros tribunais hipotese supremo considerar indice utilizado irregular devera estipular sera feito pagamento correcao saldos poupanc;-
BCO BRASIL S.A.;BRASIL;banco brasil triplica limites terminais biometr; banco brasil bb triplica partir desta quartafeira limites pagamentos transferencias saques feitos terminais disponham autenticacao biometria banco continuara levando conta limites operacionais cada transacao quantidade maxima cedulas dispensadas cada saque clientes limite saque r mil exemplo podem retirar r mil terminais biometria maior banco pais milhoes clientes cadastrados projeto biometria solucao oferece seguranca agilidade transacoes base clientes bb supera milhoes instituicao financeira planeja quase dobrar ate fim deste ano numero terminais autoatendimento embarcados tecnologia biometrica atuais mil mil caso bb identificacao feita atraves impressao digital alem seguranca contra golpes solucao permite reducao tempo permanencia usuario frente terminal acordo pesquisas equipe tecnica bb media pessoa leva segundos concluir operacao terminais autoatendimento biometria erra senha combinacao letras tempo sobe minuto dez segundos caixas biometria cliente consegue concluir transacao segundos menos equipamentos tecnologia vicepresidente tecnologia bb geraldo dezena tecnologia estabelece novo paradigma relacao cliente maquina lembra mercado sempre trabalhou autenticacao memorizacao senhas uso cartao evolucao tecnologia permite identificacao possa ser feita partir proprio cliente chamado fator biometrico eliminando riscos fraudes disse execut;+
BCO BRASIL S.A.;BRASIL;justica indeniza correntista banco r mil descontos indevidos poupanc; desembargador stenio jose sousa neiva coelho membro camara tribunal justica pernambuco manteve decisao juiz vara civel palmares evani barros confirmou concessao indenizacao danos morais materiais valor r mil correntista banco brasil jose rodrigues silva motivo medida judicial denuncia aplicacao descontos indevidos poupanca instituicao financeira nao apresentou provas contundentes justificassem apelacao banco brasil pediu reforma sentenca alegando atuacao pautada dentro boafe legalidade portanto nao ha falar ato ilicito caracterizador danos esfera extrapatrimonial autor caso nao entendimento pugna minoracao quantia respeito principios razoabilidade proporcionalidade segundo ponto tambem nao atendido magistrado desembargador stenio neiva considerou incontestavel aplicacao codigo defesa consumidor operacoes realizadas instituicoes financeiras conforme sumula stj destarte pacifico jurisprudencia entendimento operacoes realizadas instituicoes financeiras cabem provar nao falha prestacao servico pois nao aplicam apenas principios civilistas regem responsabilidade civil devendo aplicar tambem regra estabelecida codigo defesa consumidor preve responsabilidade objetiva prestador servicos dispondo entanto art cdc duas causas exclusao responsabilidade diz texto decisao acordo art cdc fornecedor servicos so nao sera responsabilizado provar i tendo prestado servico defeito inexiste ii culpa exclusiva consumidor terceiro relator citou sumulas superior tribunal justica decisoes tribunais pernambuco rio grande sul minas gerais despacho publicado edicao n diario justica eletronico dje tercafeira ainda cabe recurso agravo interno regimental levar apelacao julgamento camara civel tjpe formada dois desembargadores busca processual grau npu ;-
BCO BRASIL S.A.;BRASIL;concorrencia bilionaria licitacao banco brasil contratar escritorio advocacia suspens; licitacao bilionaria banco brasil pretende contratar escritorios advocacia suspensa justica sao paulo nesta sextafeira juiz marcos pimentel tamassia vara fazenda publica estado atendeu pedido dois escritorios acusam banco descumprir norma prevista proprio edital decisao dada dia banco divulgou resultado final concorrencia bancas natividade goncalves sociedade advogados pereira gionedis advocacia participam maior licitacao servicos juridicos pais acusam banco desconsiderar contagem pontos criterio definido edital caso anularam pontuacao extra oferecida bancas profissionais registrados seccional ordem advogados brasil banco brasil atribuido pontos todos escritorios possuiam advogados inscritos apenas seccional banca atuava banco anunciou daria pontuacao todos advogados nota esclarecimento responde recursos administrativos movidos bancas participavam licitacao mudanca criterio pontuacao conforme acusam escritorios aconteceu abertura envelopes propostas concorrentes segundo afronta lei lei licitacoes fere morte principio vinculacao instrumento convocatorio principio isonomia evidente atitude comissao licitacao requerido banco brasil encontrase revestida completa ilegalidade vista baseado esclarecimento estranhamente recebido publicado apos data final entrega documentacao habilitacao pontuacao escritorios participantes certame modificador essencia regras edital exigia pontuacao extra advogados comprovadamente registrados oab beneficiou concorrentes nao possuiam profissionais inscritos duas oabs prejudicou cumpriram regra editalicia momento oportuno afirmam bancas decisao liminar desta sextafeira juiz marcos pimentel tamassia diz provas apresentadas autores parecem convergir conclusao criterios edital especificamente bonus atribuidos escritorio profissionais inscritos seccional oab indicada bb prestar servicos descumprido forma contrariar principalmente principio vinculacao edital reconhecer possivel dano irreparavel caso licitacao ir adiante antes problema apontado ser discutido justica juiz aceita pedido advogados intima banco brasil manifestar proximos dias nelson wilians rodrigues socio presidente nelson wilians advogados associados participa concorrencia afirma decisao dada horas banco divulgar resultado certame ja pontuacao extra questionada acao nao tera efeito retirar edital motivo ensejou questionamento medida judicial teoricamente condao suspender processo credenciamento perde objeto nao havendo falar qualquer prejuizo regular andamento credenciamento afirma advogado caso policia concorrencia aberta banco brasil contratar escritorios advocacia virou assunto policia tribunal contas uniao licitacao envolvendo mil processos ligados banco ja havia sido alvo recursos administrativos seis representacoes tcu ate representacao criminal boa parte reclamacoes aponta problemas escritorio primeira divulgacao pontuacao primeiro colocado categorias regioes licitadas nelson wilians advogados associados acusado simular contratacao advogados constassem lista profissionais momento concorrencia direcao escritorio nega quaisquer irregularidades banco brasil milhao processos justica sendo advogados internos cuidam apenas estrategicos deixando massa menor complexidade terceirizados pessoas ligadas banco afirmam devido proporcoes qualquer problema nessa licitacao pode tomar denuncias preocupado funcionarios advogados companhia clique aqui ler decisao texto alterado h dia agosto acrescimo informaco;-
BCO BRASIL S.A.;BRASIL;tesouro segura pagamentos r bi banco brasil;atrasos repasses bancos oficiais contribuem melhorar contas governo porque tesouro aumenta superavit primario resultado mensal brasilia governo atrasando repasses feitos banco brasil bancar juros baixos financiamentos produtores rurais divida tesouro nacional banco fechou primeiro semestre r bilhoes quase dobro r bilhoes registrados fim junho segundo balanco bb divulgado semana passada bb fechou ano passado r bilhoes nessa conta atrasos repasses bancos oficiais contribuem melhorar contas governo porque adiar repasses tesouro aumenta menos resultado mensal superavit primario economia governo pagamento divida bancos contratos tesouro termos nao obrigam governo ser pontual pagamentos nesses casos divida ser paga remunerada taxa selic hoje ano nota banco brasil informou relacoes tesouro sao expressas contrato prestacao servicos abrange inclusive processos equalizacao credito rural apuracao vicepresidente uniao nacional acionistas minoritarios banco brasil unamibb isa musa noronha disse fara representacao tribunal contas uniao tcu pedindo apuracao dessa pratica governo quer fazer bb caixa nao conta movimento historia bb nunca vai quebrar nao procede apertar demais hora torneira seca problema nao passou despercebido produtores agricolas presidente associacao produtores soja milho brasil aprosoja almir dalpasquale afirmou oferta credito via bb sido seletiva falta financiamento safra disse sentida goias mato grosso sul parana dalpasquale afirmou ritmo lento financiamento bb assuntos levados entidades representantes agronegocio ministro agricultura neri geller bancos privados estao ageis disse caixa expediente refletido balanco bb repete estrategia usada caixa economica federal revelou jornal estado s paulo ultima quartafeira tornaramse frequentes neste ano atrasos tesouro caixa pagamento beneficios sociais segurodesemprego bolsa familia descompassos descobertos area fiscalizacao banco central exigiu explicacoes banco caixa pediu abertura mecanismo conciliacao arbitragem advocaciageral uniao agu resolver impasse diferenca caixa bb empresa economia mista acoes cotadas bolsa bb responsavel credito rural brasil carteira agronegocios banco encerrou segundo trimestre saldo r bilhoes expansao relacao periodo periodo destacase saldo operacoes contratadas pronaf programa destinado agricultores familiares r bilhoes pronamp apoio medio produtor rural r bilhoes duas linhas subsidio governo informacoes sao jornal estado s paul;+
BCO BRASIL S.A.;BRASIL;cofre agencia banco brasil arrombado macarico mairi ; agencia banco brasil localizada municipio mairi quilometros salvador invadidada assaltantes madrugada desta tercafeira acordo agentes delegacia local crime aconteceu volta h sendo acao criminosos so percebida inicio manha apos chegada funcionarios conforme policia ainda informacoes sobre quantidade pessoas envolvidas crime assaltantes entraram unidade bancaria apos terem destruido vidros janela fica fundos agencia dentro unidade policia relata assaltantes conseguiram arrombar cofre macarico ainda nao ha informacoes sobre quantia levada suspeitos informacoes iniciais apontam assaltantes conseguiram desligar sistema alarme area externa tambem cameras seguranca conforme policia testemunhas contaram viram tres carros suspeitos circularem regiao pouco antes crime ninguem preso ate inicio noite desta terca ;-
BCO BRASIL S.A.;BRASIL;banco brasil reclamacao sobre concurso deve ser julgada justica trabalh; primeira turma tribunal regional trabalho regiao trt reafirmou entendimento compete justica trabalho julgar litigios envolvendo concurso publico banco brasil sa sociedade economia mista personalidade juridica privada magistrados apesar obrigatoriedade concurso publico previsto artigo constituicao federal materia envolve tratativas iniciais contrato emprego sob palio consolidacao leis trabalho clt atrai competencia justica trabalhista aprovada concurso publico banco brasil candidata ajuizou reclamacao trabalhista requerendo contratacao reserva vaga beneficio argumentando bb apesar real necessidade pessoal nao priorizando concurso realizado preferiu proceder licitacao mediante pregao eletronico contratacao prestacao servicos temporarios todo territorio nacional segundo entende reclamante importou pretericao candidatos habilitados certame juizo primeira instancia concluiu incompetencia justica trabalho julgar causa declinandoa favor justica comum candidata recorreu trt tentar reverter sentenca juiz grau resposta banco brasil manifestou manutencao sentenca afirmando pretensao autora reclamacao eminentemente natureza civil nenhuma relacao vinculo empregaticio natureza precontratual portanto deveria ser encaminhada justica comum relator caso trt desembargador dorival borges souza neto salientou voto materia fundo reclamacao discute tratativas iniciais contrato emprego modalidade precontrato envolvendo questoes responsabilidade civil decorrentes relacao empregaticia portanto assentam sob jurisdicao trabalhista acordo desembargador recorrente sociedade economia mista constituida sob forma sociedade anonima possui personalidade juridica privada apesar obrigatoriedade contratacao mediante concurso publico conforme previsto constituicao federal funcionarios banco brasil sao eminentemente celetistas alem disso relator salientou discussao nao envolve nenhuma questao atinente validade concurso argumentos desembargador deu provimento recurso afastar declaracao incompetencia absoluta confirmar competencia justica trabalhista processar julgar presente feito determinando retorno autos primeira instancia julgamento merito reclamacao processo n ;-
LOJAS AMERICANAS S.A.;LOJAS AMERIC;veja noticia venda santander bradesc;bancos negam unit dispara infomoney varejista lojas americanas lucro liquido r milhoes segundo trimestre alta comparacao anual informou empresa nesta quartafeira resultado ficou abaixo esperado analistas media estimativas obtidas reuters apontava lucro r milhoes periodo semestre lucro liquido caiu r milhoes sob impacto piora resultado financeiro periodo receita liquida trimestral lojas americanas r bilhoes alta anual parte resultado impulsionado ocorrencia pascoa abril ano marco ate momento inauguradas lojas empresa ja contratadas estagio avancado negociacao afirmou ebitda sigla ingles lucro antes juros impostos depreciacao amortizacao ajustado avancou mesma base comparacao encerrando trimestre r milho;-
LOJAS AMERICANAS S.A.;LOJAS AMERIC;lojas americanas lucra r mi trimestr; lojas americanas registrou lucro liquido consolidado r milhoes segundo trimestre ano alta ante igual periodo ano passado ebitda lucro antes impostos juros amortizacao depreciacao ajustado cresceu r milhoes abril junho margem queda ponto porcentual receita liquida somou r bilhoes periodo elevacao primeiro semestre lucro atingiu r milhoes queda ante primeiros seis meses ano passado ebitda ajustado subiu r milhoes margem pp menor receita liquida semestre r bilhoes expansao ;-
LOJAS AMERICANAS S.A.;LOJAS AMERIC;financeiro lojas americanas otimista semestre desafi; segundo semestre varejista lojas americanas devera ser positivo vendas considerando datas importantes comercio black friday dia criancas natal ainda sera periodo desafiador avaliacao diretor financeiro relacoes investidores companhia murilo correa termos expectativa segundo semestre posso dizer otimistas sera desafiador sempre otimistas termo abertura lojas relacao consumidores disse durante teleconferencia analistas executivo comentou ainda companhia enxerga grande potencial expansao marcas proprias gente dando atencao especial negocio afirmou esclareceu avanco margens companhia controladora influenciado desempenho positivo marcas proprias sobre aporte r bilhoes lojas americanas controlada bw executivo informou havera reflexo resultado financeiro controladora companhia efeito divida liquida aumentou saida aporte efeito certificado deposito interbancario disse lucro varejista lucro liquido r milhoes segundo trimestre alta comparacao anual semestre lucro liquido caiu r milhoes sob impacto piora resultado financeiro periodo receita liquida trimestral lojas americanas r bilhoes alta anual parte resultado impulsionado ocorrencia pascoa abril ano marco ate momento inauguradas lojas empresa ja contratadas estagio avancado negociacao afirmou ebitda ajustado avancou mesma base comparacao encerrando trimestre r milho;+
LOJAS AMERICANAS S.A.;LOJAS AMERIC;lojas americanas lucra r mi trimestr; lojas americanas registrou lucro liquido consolidado r milhoes segundo trimestre ano alta ante igual periodo ano passado ebitda lucro antes impostos juros amortizacao depreciacao ajustado cresceu r milhoes abril junho margem queda ponto porcentual receita liquida somou r bilhoes periodo elevacao primeiro semestre lucro atingiu r milhoes queda ante primeiros seis meses ano passado ebitda ajustado subiu r milhoes margem pp menor receita liquida semestre r bilhoes expansao ;+
LOJAS AMERICANAS S.A.;LOJAS AMERIC;lojas americanas americanascom patrocinam livros pracas estado rio janeir; projeto circula primeira vez municipios baixada fluminense lojas americanas americanascom sao patrocinadoras projeto livros pracas objetivo estimular leitura levando comunidades onibus transformado biblioteca projeto chega terceira edicao primeira vez circulara municipios baixada fluminense onibusbiblioteca lojas americanas americanascom cor vermelha caracteristica duas marcas passara dez pracas estado rio janeiro realizando emprestimos livros gratuitamente criancas adultos cada quinze dias onibus praca visitantes podem ler dentro veiculo oferece acervo dois mil livros infantis juvenis adultos levar livros casa projeto conta tambem atividades paralelas oficinas leitura contacao historias cerca livros sao autores brasileiros ana maria machado thalita reboucas paulo coelho monteiro lobato onibus oferece ainda livros ilustracoes braile audiobooks deficientes visuais lojas americanas americanascom doaram mil gibis projeto serao distribuidos visitantes onibus diariamente onibusbiblioteca totalmente adaptado receber publico necessidades especiais veiculo conta cadeira transbordo propria cadeirantes idosos dificuldades subir escada acesso projeto proporciona disseminacao leitura todas classes idades alem disso empenhamos tornar projeto acessivel todos porque acreditamos assim podemos contribuir cultura educacao nenhuma distincao explica carlos padilha diretor lojas americanas lancamento onibusbiblioteca acontece nesta tercafeira h parque madureira grande festa criancas adultos livros pracas passara sao joao meriti belford roxo caxias nova iguacu campo grande gamboa leme madureira tijuca vila isabel agosto dezembr;+
LOJAS AMERICANAS S.A.;LOJAS AMERIC;lojas americanas americanascom americanas viagens fazem festa comemorar aniversari;promocao marcas ira sortear r mil dia lojas americanas americanascom americanas viagens comemoram aniversario setembro lancam promocao aqui voce faz festa ira premiar cliente dia r mil cada r compras lojas americanas americanascom americanas viagens periodo agosto setembro cliente recebe numero sorte paraconcorrer premio sao dias promocao celebrar anos lojas americanas americanascom americanas viagens vencedores serao divulgados wwwamericanascomaniversario lojas fisicas cliente ganha imediato compras partir r brinde pode ser colecionado opcoes uteis cliente fazer festa sao kit tres portacopos prato petisqueira tigela ml colher cores cerejeira mogno imbuia lojas estao muitas ofertas especiais produtos comemorativos desenvolvidos especialmente comemoracao americanascom diariamente cliente vai ter produto superdesconto partir h alem muitas ofertas descontos especiais americanas viagens cliente tambem vai ter diversos descontos passagens hoteis pacot;+
LOJAS AMERICANAS S.A.;LOJAS AMERIC;lojas americanas americanascom promovem saldao aniversari; parte acoes comemorativas aniversario lojas americanas americanascom promovem quartafeira dia saldao descontos diversas categorias produtos informatica telefonia eletronicos eletrodomesticos perfumaria bomboniere cds dvds muitos outros estarao oferta destaques lojas fisicas sao tvs r celular samsung galaxy s duos tv tim r r koleston r bis lacta caixa r compras podem ser parceladas ate dez vezes juros parcela minima r todos cartoes credito americanascom diversos produtos tambem estao precos baixos tablet galaxy tab samsung tn r r jogo pro evolution soccer xbox ps r boleto cds dvds partir r compras podem ser parceladas ate dez vezes cartoes parcela minima r desconto boleto bankline tablets produtos telefonia compras acima r demais departamentos loja online contam desconto pagamento vista alem aproveitar todas ofertas cliente ainda chance ganhar r mil compras partir r ganha ticket participar sorteio quanto comprar chances ganhar promocao acaba dia informacoes httpwwwamericanascombraniversari;+
LOJAS AMERICANAS S.A.;LOJAS AMERIC;pendrive desconto r mil loja ganha comentarios hilari;preco altissimo dentro padroes produto alto valor cobrado gerou resenhas engracadas internet nao perdoa site lojas americanas criou desconto aparentemente imperdivel pendrive lancamento pode gravar alta quantidade dados r r imediatamente virou fonte piadas comentarios engracados parte leitores acharam graca preco absurdo site youpix selecionou melhores comentarios relativos produto mostrando boa velha zoeira tipica publico brasileiro forma avaliacoes todas falsas claro gente dizendo comprou varias unidades ate vendeu bens pessoais mudou planos financeiros so colocar maos datatraveler hyperx predator gb kingston;+
LOJAS AMERICANAS S.A.;LOJAS AMERIC; h atualizado h rede lojas condenada indenizar cliente agredida seguranca ; justica condenou lojas americanas indenizar cliente gravida agredida seguranca dentro unidade belo horizonte segundo forum lafayette caso aconteceu marco dia internacional mulher decisao publicada nesta tercafeira ainda acordo forum juiz vara civel belo horizonte jose mauricio cantarino villela condenou loja pagar r mil mulher decisao instancia cabe recurso dia confusao seguranca seguiu mulher dentro loja acusou furto conforme justica depoimento vitima contou agredida soco rosto caiu sobre prateleiras disso chefe seguranca epoca ainda tentou afastar testemunhas abafar caso porem policia acionada segundo forum mulher disse alem ser agredida nao recebeu nenhuma assistencia lojas americanas resolveu entrar justica forum informou defesa empresa contestou fato dizendo nao ocorreu agressao acusacao furto loja ainda afirmou mulher agredido seguranca gratuitamente magistrado levou consideracao depoimento testemunhas unanimes confirmar agressao falta assistencia parte loja pequenos desencontros empregados clientes podem ser tolerados vistos normais contudo situacao fatica grau violencia qualquer assistencia autora gravida meses fogem completamente qualquer padrao situacao toleravel argumentou juiz decisao g entrou contato advogado lojas americanas aguarda retorno sera incluido publicacao representantes vitima nao localiz;-
LOJAS AMERICANAS S.A.;LOJAS AMERIC;loja deve pagar r mil gestante agredida seguranca dia mulh; mulher agredida chutes socos seguranca lojas americanas belo horizonte deve receber r mil indenizacao danos morais decisao divulgada nesta quartafeira vara civel bh conforme relato vitima gravida oito meses dia marco dia internacional mulher pediu ajuda seguranca loja encontrar pacote algodao segundo processo alem tela tratado rispidez seguranca seguiu colocou produto cesto homem identificado wembley nogueira santos acusou roubo leia noticias r minas consta acao funcionario segurou cabelos acertou soco rosto jogandoa contra prateleiras reacao imediata inevitavel acertou raspao cesto compras seguranca agressao homem fundos loja onde sido protegido chefe testemunhas acionaram policia conta loja nao ofereceu assistencia dia agressao sentenca juiz jose mauricio cantarino villela aponta lojas americanas defenderam afirmando nao ocorreu agressao intencional nao acusacao furto apontou ainda mulher comecado confusao agredindo funcionario protegido bracos eventualmente atingido mulher juiz codigo defesa consumidor preve prestador servico deve responder fatos resultantes empreendimento testemunhas unanimes descrever agressoes sofridas gestante reacoes equipe seguranca segundo pequenos desencontros empregados clientes podem ser tolerados contudo grau violencia qualquer assistencia autora gravida meses fogem completamente qualquer padrao situacao toleravel outro lado empresa pode recorrer decisao reportagem procurou lojas americanas aguarda posicionamento sobre caso nenhum representante seguranca questao encontr;-
LOJAS AMERICANAS S.A.;LOJAS AMERIC;loja deve pagar r mil gestante agredida seguranca dia mulh; juiz vara civel belo horizonte jose mauricio cantarino villela condenou lojas americanas pagar indenizacao r mil cliente kms agredida segurancas mulher gravida oito meses levou socos chutes nao recebeu assistencia empresa apos agressao k afirmou marco dia internacional mulher perguntou seguranca onde poderia encontrar produto loja segundo funcionario maneira rude disse nao sabia nao funcao informar localizacao produtos k notou apos resposta seguranca comecou seguila loja encontrou produtos buscava colocouos cesto acusada roubo k disse negou roubo funcionario segurou cabelos acertou soco rosto jogandoa contra prateleiras reacao imediata inevitavel acertou raspao cesto compras seguranca agressao funcionario correu fundos loja onde protegido chefe seguranca tentou dispersar clientes abafar acontecimento porem clientes acionaram policia k disse sofreu diversas lesoes momento algum loja ofereceu assistencia portanto ajuizou pedido indenizacao danos morais loja apresentou defesa contestando acontecimento narrado k afirmando nao ocorreu agressao fisica intencional gestante nao acusada furto loja relatou situacao iniciada k agrediu gratuitamente seguranca alegou colocou bracos frente pode ter atingido gestante nao havendo nisso danos morais decisao magistrado analisou relacao partes base codigo defesa consumidor prestador servicos deve responder fatos vicios resultantes empreendimento independentemente culpa testemunhas unanimes afirmar k agredida seguranca alem confirmar falta assistencia parte loja magistrado percebeu tambem base depoimentos total despreparo equipe seguranca inves proteger integridade fisica clientes relacionarem adequadamente publico acabaram gerar violencia intranquilidade local pequenos desencontros empregados clientes podem ser tolerados vistos normais contudo situacao fatica grau violencia qualquer assistencia autora gravida meses fogem completamente qualquer padrao situacao toleravel argumentou juiz diante desse episodio entendeu rompido equilibrio emocional ser humano configura dano moral decisao ser primeira instancia sujeita recurso ;-
LOJAS AMERICANAS S.A.;LOJAS AMERIC;loja deve pagar r mil gestante agredida seguranca dia mulh; grupo varejista lojas americanas condenado pagar r mil indenizacao cliente agredida seguranca lojas rede marco dia internacional mulher epoca vitima gravida meses atacada socos chutes perguntar funcionario onde poderia encontrar produto cabe recurso mulher disse ser respondida forma rude seguranca passou ser perseguida dentro loja acusada roubo colocou produtos procurava cesto compras contou negou ter furtado mercadoria funcionario segurou cabelos acertoulhe soco rosto jogandoa contra prateleiras reacao imediata acertou raspao cesto compras seguranca epois agressao funcionario correu fundos loja onde protegido chefe seguranca tentou dispersar clientes abafar acontecimento porem clientes acionaram policia vitima contou sofreu diversas lesoes momento algum loja ofereceu assistencia portanto ajuizou pedido indenizacao danos morais defesa loja apresentou defesa contestando acontecimento narrado vitima afirmando nao ocorreu agressao fisica intencional gestante nao acusada furto loja relatou situacao iniciada propria vitima agrediu gratuitamente seguranca alegou colocou bracos frente proteger pode ter atingido gravida nao havendo nisso danos morais decisao juiz vara civel belo horizonte jose mauricio cantarino villela analisou relacao partes base codigo defesa consumidor prestador servicos deve responder fatos vicios resultantes empreendimento independentemente culpa testemunhas unanimes afirmar mulher agredida seguranca alem confirmar falta assistencia parte loja magistrado percebeu tambem base depoimentos total despreparo equipe seguranca inves proteger integridade fisica clientes relacionarem adequadamente publico acabaram gerar violencia intranquilidade local diante episodio juiz entendeu rompido equilibrio emocional ser humano configura dano moral procurada reportagem tempo lojas americanas sa preferiu nao manifestar sobre cas;-
LOJAS AMERICANAS S.A.;LOJAS AMERIC;lucro lojas americanas sobe tri fica abaixo esper;rio janeiro ago reuters varejista lojas americanas lucro liquido milhoes reais segundo trimestre alta cento comparacao anual informou empresa nesta quartafeira resultado ficou abaixo esperado analistas media estimativas obtidas reuters apontava lucro milhoes reais periodo semestre lucro liquido caiu cento milhoes reais sob impacto piora resultado financeiro periodo receita liquida trimestral lojas americanas bilhoes alta anual cento parte resultado impulsionado ocorrencia pascoa abril ano marco ate momento inauguradas lojas empresa ja contratadas estagio avancado negociacao afirmou ebitda sigla ingles lucro antes juros impostos depreciacao amortizacao ajustado avancou cento mesma base comparacao encerrando trimestre milhoes r;+
LOJAS AMERICANAS S.A.;LOJAS AMERIC;americanascom faz anos descontos ate ;comeca hoje saldao anos aniversario americanascom blogsfacebookx comemorar loja virtual dara hoje ate desconto produtos diversas categorias informatica telefonia eletronicos eletrodomesticos games moda muitos outros ate dia setembro fica ar promocao cada r compras americanascom ticket concorrer r mil dia quanto compras chances levar premio todas compras americanascom podem ser parceladas ate vezes juros vista boleto desconto conferir descontos aniversario americanascom;-
LOJAS AMERICANAS S.A.;LOJAS AMERIC;aviso webcast lojas americanas anuncia webcast sobre resultados trimestre ;rio janeiro agosto prnewswire lojas americanas sa bovespa lame lame lojas americanas anuncia seguinte webcast resultados trimestre lojas americanasquando quintafeira agosto horas horario brasiliaonde httpwebcastprnewswirecombrcanaislasachannelloginaspxpalestraid vivo internet simplesmente conectese site acima citado contato area relacoes investidores lojas americanas email investidoreslasacombr nao possivel ouvir webcast vivo mesma ficara arquivada site httprilasacombr acessar replay clique botao t webcast preferir acesse site httpwwwprnewswirecombr lojas americanas atua setor varejista estrutura atendimento multicanal alem rede lojas fisicas companhia chega clientes amplo sortimento produtos servicos comercializados via internet televisao televendas catalogos quiosques final trimestre companhia operava lojas todos estados brasil fonte lojas americanas s;+
PETROLEO BRASILEIRO S.A. PETROBRAS;PETROBRAS;petrobras sobe bovespa fecha alta ; principal indice bovespa fechou alta voltou maior nivel desde fevereiro ano passado nesta segundafeira valorizacao impulsionada acoes petrobras subiram bolsa brasileira tambem seguiu movimento pregoes exterior influenciada expectativas estimulos europa noticias fusoes aquisicoes estados unidos ibovespa subiu pontos maior patamar desde fevereiro melhor momento dia indice renovou maxima intradia ano bater pontos volume financeiro pregao somou r bilhoes pouco abaixo media diaria mes quase r bilhoes apos duas quedas seguidas acoes petrobras alta aparecendo maiores altas ibovespa exterior influencia noticias fusoes aquisicoes eua discurso presidente banco central europeu bce mario draghi sextafeira trouxe expectativas novas medidas estimulo regiao acoes oi recuaram reletorio contratado portugal telecom empresa processo fusao sugere acionistas aprovem negocio oi segundo documento reuters acesso sextafeira jbs perdas reportagem carta capital fim semana afimou empresa assinou acordo redzir fatia bertin grupo acordo revista negocio suspeito prejudica minoritarios jbs disse reuters nao comentaria assunto outra frente cargill abriu processo contra antigo empregado acusandoo roubar informacoes secretas antes trabalhar rival jbs acoes vale tambem queda dia reducao precos minerio chin;+
PETROLEO BRASILEIRO S.A. PETROBRAS;PETROBRAS;maiores dividas financeiras sao petrobras vale diz economat; divida financeira empresas capital aberto empresas formadas acoes sao negociadas mercado financeiro ultrapassou barreira r trilhao segundo trimestre consecutivo segundo dados divulgados nesta quintafeira consultoria economatica petrobras empresa maior divida r bilhoes segunda maior divida vale r bilhoes veja resultado empresas abaixo primeiro trimestre divida total empresas capital aberto brasil somava r trilhao segundo trimestre valor passou r trilhao setor petroleo gas concentra total valor r bilhoes dividas seis empresas segundo setor maior proporcao dividas energia empresas devendo todo r bilhoes total terceiro lista setor alimentos bebidas r bilhoes dividas empresas representando total empresas somadas dez maiores dividas empresas avaliadas economatica representam metade valor total juntas dez empresas devem r bilhoes petrobras vale empresa maior divida oi r bilhoes total seguida vem eletrobras r bilhoes total div;-
